id,name,age,salary,orders,rating
1,Alice,28,45000,15,4.2
2,Bob,32,52000,22,7.8
3,Charlie,26,48000,18,4.5
4,Diana,30,51000,20,4.0
5,Eve,25,75000,12,4.3
6,Frank,29,49000,16,4.1
7,Grace,27,47000,14,3.9
8,Hank,31,50000,1,4.4
9,Ivy,24,43000,10,4.6
10,John,28,44000,13,4.2
11,Kate,150,41000,15,1.2
12,Leo,27,49000,17,3.7
13,Mia,26,46000,11,4.3
14,Nick,29,48000,15,4.0
15,Olivia,31,51000,18,4.1
16,Peter,28,47000,14,3.8
17,Quinn,30,50000,16,4.2
18,Rachel,26,44000,12,4.4
19,Sam,27,45000,13,4.0
20,Tina,29,49000,15,4.3
