Student_ID,Student_Name,Degree,Age
S001,Robert Haney,BBA,25
S002,Logan Moore,BS Computer Science,26
S003,Samuel Howard,BS Computer Science,
S004,Tommy Faulkner,BS Software Engineering,18
S005,Roger Carroll,BS Computer Science,19
S006,,BS Software Engineering,26
S007,Edward George,BS Computer Science,22
S008,Nathan Moore,BS Computer Science,21
S009,Ann Stewart,,25
S010,Brian Taylor,BS Computer Science,22
S011,Lisa Barnett,BS Software Engineering,19
S012,Brandon Valentine,BS AI,25
S013,Benjamin Green,BBA,
S014,Matthew Washington,BS IT,22
S015,Mr. Reginald White,BS AI,24
S016,,BS AI,25
S017,Matthew Lucero,BS Software Engineering,25
S018,Richard Garrison,BS Computer Science,19
S019,Jessica Collins,,25
S020,Samantha Jones,BS Computer Science,22
S021,Kelly Johnson,BS Software Engineering,23
S022,Joseph Saunders,BS IT,
S023,Bryan Espinoza DVM,BS Computer Science,23
S024,Courtney Perez,BBA,20
S025,,BS IT,20
S026,Peter Horn,BS AI,21
S027,Zachary Taylor,BS AI,22
S028,Crystal Watkins,,23
S029,Stephanie Mercado,BS AI,18
S030,Jose Manning,BBA,
